Year,District,State,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,ALLSKY_SFC_PAR_TOT
2005,Chittoor,Andhra Pradesh,24.96284932,30.88167123,20.30923288,73.12117808,18.01156164,2.511780822,8.327808219
2006,Chittoor,Andhra Pradesh,25.02591781,31.60682192,19.98446575,69.93372603,19.12967123,2.66769863,8.822356164
2007,Chittoor,Andhra Pradesh,24.88257534,31.10054795,19.97832877,71.41534247,18.8589589,2.491863014,8.694767123
2008,Chittoor,Andhra Pradesh,24.61437158,30.64355191,19.92579235,72.55825137,19.03180328,2.414672131,8.769590164
2009,Chittoor,Andhra Pradesh,25.32890411,31.88728767,20.22394521,68.68424658,19.14435616,2.677287671,8.774273973
2010,Chittoor,Andhra Pradesh,25.40920548,31.44668493,20.67967123,71.81123288,18.13065753,2.553315068,8.38460274
2011,Chittoor,Andhra Pradesh,25.17652055,31.94583562,19.95416438,68.32115068,19.34,2.747726027,8.862849315
2012,Chittoor,Andhra Pradesh,25.9768306,33.08191257,20.47218579,64.56650273,19.32071038,2.738715847,8.853907104
2013,Chittoor,Andhra Pradesh,25.31093151,31.76106849,20.29619178,69.11271233,18.62558904,2.857671233,8.554273973
2014,Chittoor,Andhra Pradesh,25.69235616,32.50819178,20.38786301,65.78876712,18.46142466,2.824547945,8.465342466
2015,Chittoor,Andhra Pradesh,25.29632877,31.78572603,20.25668493,69.83410959,18.86975342,2.610794521,8.676986301
2016,Chittoor,Andhra Pradesh,25.63188525,32.64581967,20.16934426,66.22040984,19.27079235,2.526967213,8.821420765
2017,Chittoor,Andhra Pradesh,25.48383562,31.82284932,20.35939726,68.81465753,18.69473973,2.444739726,8.569671233
2018,Chittoor,Andhra Pradesh,25.62419178,32.63816438,20.19180822,66.21750685,19.17112329,2.585315068,8.742109589
2019,Chittoor,Andhra Pradesh,26.08972603,32.58989041,20.92265753,67.69964384,18.96964384,2.561561644,8.712712329
